o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1,370,O,172799.49,1996-01-02,5-LOW,Clerk#000000951,0,ly express platelets. deposits acc
2,781,O,38426.09,1996-12-01,1-URGENT,Clerk#000000880,0,ve the furiously fluffy dependencies. carefully regular 
3,1234,F,205654.30,1993-10-14,5-LOW,Clerk#000000955,0, after the asymptotes. instructions cajole after the foxes. carefully unu
4,1369,O,56000.91,1995-10-11,5-LOW,Clerk#000000124,0,st the furiously bold pinto beans. furiously pending theodolites cajol
5,445,F,105367.67,1994-07-30,5-LOW,Clerk#000000925,0,onic requests. carefully daring foxes among the carefu
6,557,F,45523.10,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0,furiously ironic accounts haggle blithely carefully regular de
7,392,O,271885.66,1996-01-10,2-HIGH,Clerk#000000470,0,", ironic packages wa"
32,1301,O,198665.57,1995-07-16,2-HIGH,Clerk#000000616,0,"ly about the carefully express theodolites. ironic, iron"
33,670,F,146567.24,1993-10-27,3-MEDIUM,Clerk#000000409,0," careful, regular courts. unusual"
34,611,O,73315.48,1998-07-21,3-MEDIUM,Clerk#000000223,0,osits according to the ideas are furiously final requests? slyly pe
35,1276,O,194641.93,1995-10-23,4-NOT SPECIFIED,Clerk#000000259,0,ing dugouts alongside of the silently ironi
36,1153,O,42011.04,1995-11-03,1-URGENT,Clerk#000000358,0,kages sleep after the furiously regular accounts. slyly eve
37,862,F,131896.49,1992-06-03,3-MEDIUM,Clerk#000000456,0,aggle carefully. fluffily ironic packages integrate slyly blit
38,1249,O,71553.08,1996-08-21,4-NOT SPECIFIED,Clerk#000000604,0,counts. blithely express packages cajole fluffily. fluffily regular courts na
39,818,O,326565.37,1996-09-20,3-MEDIUM,Clerk#000000659,0,accounts since the pending dugou
64,322,F,35831.73,1994-07-16,3-MEDIUM,Clerk#000000661,0,lly according to the pending dinos. carefully bold depths det
65,163,P,95469.44,1995-03-18,1-URGENT,Clerk#000000632,0,"ounts sleep against the regular foxes. deposits nag express, express foxes. f"
66,1292,F,104190.66,1994-01-20,5-LOW,Clerk#000000743,0, regular ideas. evenly unusu
67,568,O,182481.16,1996-12-19,4-NOT SPECIFIED,Clerk#000000547,0," furiously ironic foxes play across the even, si"
68,286,O,301968.79,1998-04-18,3-MEDIUM,Clerk#000000440,0,ess packages. ironically final accounts nag. special instructions haggle acc
69,845,F,204110.73,1994-06-04,4-NOT SPECIFIED,Clerk#000000330,0,ions haggle carefully about the quickly bold theodolites-- furiously final f
70,644,F,125705.32,1993-12-18,5-LOW,Clerk#000000322,0,ly ironic deposits mainta
71,34,O,260603.38,1998-01-24,4-NOT SPECIFIED,Clerk#000000271,0,uffily quiet instructions! unusual request
96,1078,F,64364.30,1994-04-17,2-HIGH,Clerk#000000395,0,excuses boost boldly 
97,211,F,100572.55,1993-01-29,3-MEDIUM,Clerk#000000547,0,structions. doggedly even dependencies are along the furiously busy hock
98,1045,F,71721.40,1994-09-25,1-URGENT,Clerk#000000448,0,s x-ray slyly. blithely regular deposits detect slyly unusua
99,890,F,108594.87,1994-03-13,4-NOT SPECIFIED,Clerk#000000973,0,against the bold pinto beans are bli
100,1471,O,198978.27,1998-02-28,4-NOT SPECIFIED,Clerk#000000577,0,phins against the blithely regular requests 
101,280,O,118448.39,1996-03-17,3-MEDIUM,Clerk#000000419,0,e slyly after the packages. carefully express
102,8,O,184806.58,1997-05-09,2-HIGH,Clerk#000000596,0,ld deposits. carefully special deposits along the requests boost carefully iro
103,292,O,118745.16,1996-06-20,4-NOT SPECIFIED,Clerk#000000090,0,fully unusual foxes. deposits wake slyly among the furiously
128,740,F,34997.04,1992-06-15,1-URGENT,Clerk#000000385,0,uriously unusual attainments sleep. furiously even attainments sublate slyly a
129,712,F,254281.41,1992-11-19,5-LOW,Clerk#000000859,0,r theodolites. regular platelets believe furiously bold foxes. final the
130,370,F,140213.54,1992-05-08,2-HIGH,Clerk#000000036,0,riously final theodolites sleep carefully ironic instruc
131,928,F,140726.47,1994-06-08,3-MEDIUM,Clerk#000000625,0, place of the ironic accounts are even packa
132,265,F,133485.89,1993-06-11,3-MEDIUM,Clerk#000000488,0,"posits. bold pains wake quickly regular requests. unusual, quick ideas be"
133,440,O,95971.06,1997-11-29,1-URGENT,Clerk#000000738,0,yly even requests. car
134,62,F,208201.46,1992-05-01,4-NOT SPECIFIED,Clerk#000000711,0,r platelets. account
135,605,O,230472.84,1995-10-21,4-NOT SPECIFIED,Clerk#000000804,0,y pending forges detect bli
160,826,O,114742.32,1996-12-19,4-NOT SPECIFIED,Clerk#000000342,0, express instructions thrash regular re
161,167,F,17668.60,1994-08-31,2-HIGH,Clerk#000000322,0,ely even courts after the pinto bea
162,142,O,3553.15,1995-05-08,3-MEDIUM,Clerk#000000378,0,excuses haggle. carefully final requests cajole furiously furiousl
163,878,O,177809.13,1997-09-05,3-MEDIUM,Clerk#000000379,0,s wake furiously. excuses use carefully carefully re
164,8,F,250417.20,1992-10-21,5-LOW,Clerk#000000209,0,ests. quickly final accounts engage according to the special theodolites. spec
165,274,F,193302.35,1993-01-30,4-NOT SPECIFIED,Clerk#000000292,0,uriously carefully regular warhorses. unus
166,1079,O,158207.39,1995-09-12,2-HIGH,Clerk#000000440,0,uses sleep quickly furiously even gi
167,1195,F,64017.85,1993-01-04,4-NOT SPECIFIED,Clerk#000000731,0, carefully above the express packages. brav
192,826,O,194637.57,1997-11-25,5-LOW,Clerk#000000483,0,ic decoys. final platelets wake slyly. furiously final platele
193,791,F,80834.26,1993-08-08,1-URGENT,Clerk#000000025,0,p furiously alongside o
194,619,F,154284.73,1992-04-05,3-MEDIUM,Clerk#000000352,0,"fter the regular requests. express instructions above the ironic, ir"
195,1355,F,216638.92,1993-12-28,3-MEDIUM,Clerk#000000216,0,ly express pinto beans. regular requests s
196,649,F,38660.64,1993-03-17,2-HIGH,Clerk#000000988,0,es. pending theodolites hinder quickly
197,326,P,155247.48,1995-04-07,2-HIGH,Clerk#000000969,0,he final accounts. sometimes unusual deposits about the carefully final re
198,1103,O,149551.63,1998-01-02,4-NOT SPECIFIED,Clerk#000000331,0,y theodolites cajole. blithely special packages haggle furi
199,530,O,95867.70,1996-03-07,2-HIGH,Clerk#000000489,0,lyly express frets. blithely 
224,25,F,234050.44,1994-06-18,4-NOT SPECIFIED,Clerk#000000642,0,sly bold pinto beans. unusual deposi
225,331,P,226028.98,1995-05-25,1-URGENT,Clerk#000000177,0,. blithely regular requests sleep furiously across the slyly 
226,1276,F,256459.40,1993-03-10,2-HIGH,Clerk#000000756,0,y silent requests. fluffily even deposits 
227,100,O,69020.68,1995-11-10,5-LOW,Clerk#000000919,0,wake blithely alongside of the flu
228,442,F,2744.06,1993-02-25,1-URGENT,Clerk#000000562,0,final accounts impress ironically slow theodolites. blithely pend
229,1118,F,195619.74,1993-12-29,1-URGENT,Clerk#000000628,0, foxes. quickly pending theodolites sleep 
230,1027,F,147711.01,1993-10-27,1-URGENT,Clerk#000000520,0,ely special accounts according
231,910,F,234383.86,1994-09-29,2-HIGH,Clerk#000000446,0,ly carefully regular deposits. carefully even packages at 
256,1249,F,132718.67,1993-10-19,4-NOT SPECIFIED,Clerk#000000834,0,foxes affix ironically fluffily final requests. carefully sil
257,1228,O,9255.12,1998-03-28,3-MEDIUM,Clerk#000000680,0,uriously pending deposits! regular foxes sleep aft
258,419,F,259466.78,1993-12-29,1-URGENT,Clerk#000000167,0,yly unusual excuses use carefully. carefully ruthless epitaphs aro
259,433,F,110611.59,1993-09-29,4-NOT SPECIFIED,Clerk#000000601,0,blithely final packages. quickly even accounts detect quickly. slyly ironic fo
260,1048,O,268084.69,1996-12-10,3-MEDIUM,Clerk#000000960,0,final packages. accounts snooze alongside of the f
261,461,F,278279.30,1993-06-29,3-MEDIUM,Clerk#000000310,0,cajole along the slyly even theodolites. f
262,304,O,173401.63,1995-11-25,4-NOT SPECIFIED,Clerk#000000551,0,ate fluffily under the quickly regular ideas. qui
263,1162,F,104961.32,1994-05-17,2-HIGH,Clerk#000000088,0,olites sleep ironic instructions. 
288,71,O,239366.68,1997-02-21,1-URGENT,Clerk#000000109,0,"nts wake. even, pending pinto beans boost quic"
289,1039,O,174624.55,1997-02-10,3-MEDIUM,Clerk#000000103,0,ld multipliers cajole furi
290,1180,F,67636.54,1994-01-01,4-NOT SPECIFIED,Clerk#000000735,0,s use slyly alongside of the f
291,1411,F,88375.89,1994-03-13,1-URGENT,Clerk#000000923,0,jole carefully. finally final packages above
292,223,F,54152.77,1992-01-13,2-HIGH,Clerk#000000193,0,haggle blithely according to the i
293,301,F,46128.56,1992-10-02,2-HIGH,Clerk#000000629,0, wake. blithely regular requests enga
294,505,F,46889.54,1993-07-16,3-MEDIUM,Clerk#000000499,0,s use above the even packages. furiously even accounts wa
295,190,F,148569.49,1994-09-29,2-HIGH,Clerk#000000155,0,"s promise idly ironic, special requests. carefu"
320,4,O,50202.60,1997-11-21,2-HIGH,Clerk#000000573,0,ts haggle even excuse
321,1226,F,73024.50,1993-03-21,3-MEDIUM,Clerk#000000289,0,". packages sleep furiously above the slyly stealthy requests. pending,"
322,1336,F,165992.05,1992-03-19,1-URGENT,Clerk#000000158,0, the furiously final deposits use never pending foxes. slyly even deposits c
323,392,F,121127.17,1994-03-26,1-URGENT,Clerk#000000959,0,endencies cajole blithely deposits. foxes unwind across the
324,1052,F,46327.90,1992-03-20,1-URGENT,Clerk#000000352,0,y after the carefully final accounts. ironic instructions alongside 
325,401,F,94638.59,1993-10-17,5-LOW,Clerk#000000844,0,ptotes hinder across th
326,760,O,325448.68,1995-06-04,2-HIGH,Clerk#000000466,0,etect fluffily. carefully express theodolites above the closely even gifts 
327,1447,P,32302.12,1995-04-17,5-LOW,Clerk#000000992,0, slyly across the blithely final ideas. fluffily eve
352,1066,F,25542.02,1994-03-08,2-HIGH,Clerk#000000932,0,detect above the quickly ironic theodolites. pending accounts dazzle
353,19,F,224983.69,1993-12-31,5-LOW,Clerk#000000449,0,"ar, regular attainments are carefully furiously express deposits"
354,1384,O,231311.22,1996-03-14,2-HIGH,Clerk#000000511,0,"al, express packages cajole furiously besides the carefully final package"
355,701,F,103949.82,1994-06-14,5-LOW,Clerk#000000532,0,ly regular theodolites. blithely ironic requests could have to ha
356,1469,F,189160.02,1994-06-30,4-NOT SPECIFIED,Clerk#000000944,0, slyly final pinto beans. special packa
357,604,O,138936.83,1996-10-09,2-HIGH,Clerk#000000301,0,lithely special packages. quickly express instructio
358,23,F,362024.17,1993-09-20,2-HIGH,Clerk#000000392,0,n excuses. special requests sleep. silent dolphins
359,776,F,214770.97,1994-12-19,3-MEDIUM,Clerk#000000934,0,bout the blithely final accounts detect slyly dependencies. deposi
384,1132,F,191275.12,1992-03-03,5-LOW,Clerk#000000206,0,"deposits wake slyly above the bold dolphins. special, ev"
385,331,O,75866.47,1996-03-22,5-LOW,Clerk#000000600,0,"excuses are slyly express, fina"
386,602,F,119718.02,1995-01-25,2-HIGH,Clerk#000000648,0,ackages. courts are unusual deposits. bold requests serve quickly along the qu
387,34,O,197839.44,1997-01-26,4-NOT SPECIFIED,Clerk#000000768,0,even platelets cajole slyly. ironic ideas affix furiously pending de
388,448,F,161560.04,1992-12-16,4-NOT SPECIFIED,Clerk#000000356,0,ly regular pinto beans boost carefully special pearls. carefully e
389,1270,F,3266.69,1994-02-17,2-HIGH,Clerk#000000062,0, ironic packages detect carefully. fluffily even pinto beans thrash slyly 
390,1027,O,232256.36,1998-04-07,5-LOW,Clerk#000000404,0,r pinto beans. final instructions boost across the the
391,1103,F,14517.91,1994-11-17,2-HIGH,Clerk#000000256,0,eas after the regula
416,403,F,106818.50,1993-09-27,5-LOW,Clerk#000000294,0,. deposits haggle along the slyly
417,547,F,132531.73,1994-02-06,3-MEDIUM,Clerk#000000468,0,are slyly. deposits boost above the blithely bold excuses. deposits cajole fu
418,949,P,39431.46,1995-04-13,4-NOT SPECIFIED,Clerk#000000643,0,symptotes engage accounts.
419,1163,O,159079.22,1996-10-01,3-MEDIUM,Clerk#000000376,0, wake carefully after the fluffily ironic accounts.
420,902,O,269064.47,1995-10-31,4-NOT SPECIFIED,Clerk#000000756,0,"y above the pinto beans. blithely ironic foxes wake furiously ironic, ironic d"
421,392,F,1292.21,1992-02-22,5-LOW,Clerk#000000405,0,"ular accounts could was about the bold, bold asy"
422,731,O,155533.71,1997-05-31,4-NOT SPECIFIED,Clerk#000000049,0,aggle about the slyly regular accounts. slyly express ideas doub
423,1034,O,31900.60,1996-06-01,1-URGENT,Clerk#000000674,0,y bold theodolites wake blithely. slyly ironic deposits alongside
448,1498,O,157247.56,1995-08-21,3-MEDIUM,Clerk#000000597,0,ly bold excuses. packages after the slowly
449,958,O,55082.33,1995-07-20,2-HIGH,Clerk#000000841,0,ly above the slowly ironic packages. furiously 
450,475,P,213638.07,1995-03-05,4-NOT SPECIFIED,Clerk#000000293,0,never blithely ironic theodolites: special depe
451,988,O,142756.81,1998-05-25,5-LOW,Clerk#000000048,0,furiously silent excuses wake carefully along 
452,596,O,2072.79,1997-10-14,1-URGENT,Clerk#000000498,0,"es. courts poach sometimes. thin, express packages a"
453,442,O,343004.49,1997-05-26,5-LOW,Clerk#000000504,0,n multipliers run according to the carefully even pack
454,488,O,24543.95,1995-12-27,5-LOW,Clerk#000000890,0,"en, bold dependencies are final packages. blithely special ideas"
455,121,O,190711.32,1996-12-04,1-URGENT,Clerk#000000796,0,poach. slyly final frays cajole. pac
480,715,F,30644.49,1993-05-08,5-LOW,Clerk#000000004,0,deposits about the blithely final realms use thinly alongside of the slyly fi
481,304,F,160370.14,1992-10-08,2-HIGH,Clerk#000000230,0,y regular platelets alongside of the ide
482,1252,O,197194.23,1996-03-26,1-URGENT,Clerk#000000295,0,silent warthogs. furiously ir
483,349,O,66194.38,1995-07-11,2-HIGH,Clerk#000000025,0, haggle furiously at the in
484,544,O,331553.32,1997-01-03,3-MEDIUM,Clerk#000000545,0, boost carefully against the regular deposits. express frays impress s
485,1006,O,142389.70,1997-03-26,2-HIGH,Clerk#000000105,0,uickly final deposits haggle closely 
486,509,O,286150.09,1996-03-11,4-NOT SPECIFIED,Clerk#000000803,0,ironic excuses according to the furiou
487,1079,F,88805.07,1992-08-18,1-URGENT,Clerk#000000086,0,sits wake alongside of the slyly 
512,631,P,183939.48,1995-05-20,5-LOW,Clerk#000000814,0," are bold, express deposits. ironic deposits doze across the quic"
513,607,O,78769.71,1995-05-01,2-HIGH,Clerk#000000522,0,"luffy packages affix. ironic, ironic requests haggle against th"
514,749,O,123202.51,1996-04-04,2-HIGH,Clerk#000000094,0," furiously ruthless dugouts. slow, regular accounts sublate against the ac"
515,1420,F,177231.12,1993-08-29,4-NOT SPECIFIED,Clerk#000000700,0,instructions wake carefully regular hockey players. slyly specia
516,440,O,13277.79,1998-04-21,2-HIGH,Clerk#000000305,0, the deposits. regular packages wake about the tithes. ironic requests wake b
517,94,O,109269.47,1997-04-07,5-LOW,Clerk#000000359,0,tect fluffily among the slyly pending packages. foxes 
518,1444,O,335285.37,1998-02-08,2-HIGH,Clerk#000000768,0,lithely regular packages haggle stealthily slyly close de
519,631,O,109395.60,1997-10-31,1-URGENT,Clerk#000000985,0,ckages sleep furiously according 
544,934,F,58960.45,1993-02-17,2-HIGH,Clerk#000000145,0,lyly along the ironic requests. blithely spe
545,632,O,35129.54,1995-11-07,2-HIGH,Clerk#000000537,0,oss the furiously ironic ideas. carefully 
546,1433,O,26227.74,1996-11-01,2-HIGH,Clerk#000000041,0,nts boost evenly. furiously ironic packages nag
547,983,O,137852.72,1996-06-22,3-MEDIUM,Clerk#000000976,0, bold deposits sublate quickly express ac
548,1240,F,139094.89,1994-09-21,1-URGENT,Clerk#000000435,0,uld haggle. quickly spe
549,1100,F,211787.30,1992-07-13,1-URGENT,Clerk#000000196,0,the blithely specia
550,236,O,54818.45,1995-08-02,1-URGENT,Clerk#000000204,0, are furiously slyly 
551,898,O,64301.40,1995-05-30,1-URGENT,Clerk#000000179,0,ns sublate blithely from t
576,296,O,24722.97,1997-05-13,3-MEDIUM,Clerk#000000955,0,ly bold requests are carefully fluffily even dep
577,553,F,47860.53,1994-12-19,5-LOW,Clerk#000000154,0,gular ideas are furiously.
578,926,O,103543.00,1997-01-10,5-LOW,Clerk#000000281,0, deposits cajole slyly regular accounts. blithely iro
579,671,O,146610.11,1998-03-11,2-HIGH,Clerk#000000862,0,ages. furiously bold requests haggle s
580,593,O,144557.44,1997-07-05,2-HIGH,Clerk#000000314,0,s are ironic theodolites. acco
581,688,O,175985.28,1997-02-23,4-NOT SPECIFIED,Clerk#000000239,0, slyly final requests. furiously final waters cajole
582,494,O,181813.20,1997-10-21,1-URGENT,Clerk#000000378,0,dependencies after th
583,472,O,154731.76,1997-03-19,3-MEDIUM,Clerk#000000792,0,"unusual, pending platelets"
608,260,O,100151.20,1996-02-28,3-MEDIUM,Clerk#000000995,0,t the fluffily unusual asymptotes
609,1252,F,33980.88,1994-06-01,3-MEDIUM,Clerk#000000348,0,deas serve slyly. slyly even pains 
610,508,O,229411.94,1995-08-02,1-URGENT,Clerk#000000610,0,excuses boost. ironic pinto b
611,1055,F,83388.31,1993-01-27,1-URGENT,Clerk#000000401,0,ckly bold theodolites. bl
612,815,F,232560.07,1992-10-21,3-MEDIUM,Clerk#000000759,0,ccounts. enticingly unusual dependencies haggle slyly. furiously 
613,1384,O,56355.92,1995-06-18,2-HIGH,Clerk#000000172,0,"ts. unusual, ironic pinto beans promise blithely ex"
614,1333,F,325942.94,1992-12-01,2-HIGH,Clerk#000000388,0,gle. fluffily ironic deposits s
615,655,F,30990.93,1992-05-09,5-LOW,Clerk#000000388,0,s pinto beans sleep ruthlessly final deposits. slyly special idea
640,952,F,210229.36,1993-01-23,2-HIGH,Clerk#000000433,0,ages nag among the deposits. fluffily unusual instructions shall ha
641,1330,F,175084.81,1993-08-30,5-LOW,Clerk#000000175,0,ar accounts. carefully furious deposits are slyly 
642,400,F,34647.34,1993-12-16,3-MEDIUM,Clerk#000000357,0,regular asymptotes. ironic accounts boost alon
643,578,P,261882.19,1995-03-25,2-HIGH,Clerk#000000354,0,ts along the carefully even asymp
644,74,F,267079.41,1992-05-01,1-URGENT,Clerk#000000550,0,se blithely. bold attainments affix furiously even notornis. blithely bo
645,1144,F,350110.21,1994-12-03,2-HIGH,Clerk#000000090,0,"es. ironic, regular requests haggle agains"
646,505,F,192105.59,1994-11-22,2-HIGH,Clerk#000000203,0,ions believe across the bl
647,1430,O,67696.52,1997-08-07,1-URGENT,Clerk#000000270,0, affix carefully special excuses. instructions haggle blithel
672,1081,F,128581.82,1994-04-14,5-LOW,Clerk#000000106,0,esias wake along the furiously special requ
673,793,F,34950.94,1994-03-10,1-URGENT,Clerk#000000448,0,its boost. regular ideas according to the silently bold
674,332,F,27390.00,1992-08-29,5-LOW,Clerk#000000448,0," print final accounts. unusual courts wake according to the final, even depo"
675,118,O,166843.13,1997-07-31,2-HIGH,Clerk#000000168,0,s. slyly final accounts a
676,380,O,254171.66,1996-12-13,2-HIGH,Clerk#000000248,0,uffily according to the slyly expres
677,1240,F,205917.22,1993-11-24,3-MEDIUM,Clerk#000000824,0, carefully silent requests integrate carefully ab
678,1307,F,208791.37,1993-02-27,5-LOW,Clerk#000000530,0,arthogs! quickly final deposits 
679,485,O,14905.06,1995-12-15,2-HIGH,Clerk#000000853,0,e furiously alongside of the slyly even packages. blithely ironic dependencies
704,844,O,85100.07,1996-11-21,3-MEDIUM,Clerk#000000682,0,c depths sleep furiously according to the quickly pending de
705,428,O,117587.40,1997-02-13,4-NOT SPECIFIED,Clerk#000000294,0,"structions wake ironic, final theodolites. furiously ironic accounts shal"
706,1474,O,40836.77,1995-09-09,1-URGENT,Clerk#000000448,0,y express instructions! quic
707,1162,F,80722.77,1994-11-20,3-MEDIUM,Clerk#000000199,0," ideas. special, regular ideas boost carefully. req"
708,316,O,127925.56,1998-07-03,3-MEDIUM,Clerk#000000101,0,heodolites boost slyl
709,361,O,92115.73,1998-04-21,1-URGENT,Clerk#000000461,0,nto beans. furiously final accounts cajole pe
710,1312,F,309878.50,1993-01-02,5-LOW,Clerk#000000026,0,ously dogged foxes. final requests cajole. ir
711,637,F,99553.27,1993-09-23,4-NOT SPECIFIED,Clerk#000000856,0,p. ironic attainments haggle always 
736,464,O,200720.61,1998-06-21,5-LOW,Clerk#000000881,0,sts. regular ideas wake
737,1198,F,20647.65,1992-04-26,5-LOW,Clerk#000000233,0,y ironic excuses need to cajole fluffily across the blithely enticing 
738,208,F,177823.89,1993-03-02,4-NOT SPECIFIED,Clerk#000000669,0,s. requests play between the enticing attainments; 
739,4,O,226008.80,1998-05-31,5-LOW,Clerk#000000900,0,s. even foxes are slyly. bold accounts haggle. iron
740,436,O,126713.42,1995-07-16,3-MEDIUM,Clerk#000000583,0,"lyly even packages. close, bold courts about th"
741,1045,O,81912.56,1998-07-07,2-HIGH,Clerk#000000295,0,otes sleep quickly along the furiously regular r
742,1030,F,258834.44,1994-12-23,5-LOW,Clerk#000000543,0,thely even accounts. slyly bold deposits use always around the fu
743,784,O,39284.49,1996-10-04,4-NOT SPECIFIED,Clerk#000000933,0,y pending requests sleep carefully quickly regular accounts. 
768,971,O,294534.22,1996-08-20,3-MEDIUM,Clerk#000000411,0,s deposits nag furiously. furiously regular
769,800,F,65622.27,1993-06-02,3-MEDIUM,Clerk#000000172,0,ptotes. blithely express packages boost furiously special instructio
770,320,O,99554.29,1998-05-23,5-LOW,Clerk#000000572,0,thely bold ideas do boost slyly pending instructions
771,446,O,151561.45,1995-06-17,1-URGENT,Clerk#000000105,0,ly regular deposits nag slyly. final foxes wake ca
772,965,F,205442.15,1993-04-17,2-HIGH,Clerk#000000430,0,es haggle furiously unusual platelets. ironic requests 
773,1319,F,190734.21,1993-09-26,3-MEDIUM,Clerk#000000307,0,gouts boost fluffily. fluffily pending requests play alongside of the fur
774,796,O,214484.43,1995-12-04,1-URGENT,Clerk#000000883,0,are above the blithel
775,1333,F,75392.93,1995-03-18,1-URGENT,Clerk#000000191,0,"e special, ironic excuses! silent deposits among the furiously"
800,560,O,144932.63,1998-07-14,2-HIGH,Clerk#000000213,0,eas thrash blithely at the carefully pending accounts. furiously final r
801,1178,F,186160.67,1992-02-18,1-URGENT,Clerk#000000186,0,unts according to the boldly regular pain
802,1367,F,192178.48,1995-01-05,1-URGENT,Clerk#000000516,0,ly final accounts cajole. blithely regular accounts s
803,145,O,49471.93,1997-04-29,5-LOW,Clerk#000000260,0,ake furiously according to the bravely special tithes. blithely dogged foxes
804,500,F,136844.01,1993-03-12,3-MEDIUM,Clerk#000000931,0,leep blithely enticing theodolites; blithely
805,1261,O,145879.67,1995-07-05,4-NOT SPECIFIED,Clerk#000000856,0,. regular packages wake idly
806,1309,O,39072.30,1996-06-20,2-HIGH,Clerk#000000240,0,"ng, regular instructions after the ironi"
