p_partkey,p_name,p_mfgr,p_brand,p_type,p_size,p_container,p_retailprice,p_comment
1,goldenrod lavender spring chocolate lace,Manufacturer#1,Brand#13,PROMO BURNISHED COPPER,7,JUMBO PKG,901.00,ironic pinto be
2,blush thistle blue yellow saddle,Manufacturer#1,Brand#13,LARGE BRUSHED BRASS,1,LG CASE,902.00,"nding, even pack"
3,spring green yellow purple cornsilk,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,21,WRAP CASE,903.00,ages. blithely fina
4,cornflower chocolate smoke green pink,Manufacturer#3,Brand#34,SMALL PLATED BRASS,14,MED DRUM,904.00,ckages. regul
5,forest brown coral puff cream,Manufacturer#3,Brand#32,STANDARD POLISHED TIN,15,SM PKG,905.00,pinto beans are 
6,bisque cornflower lawn forest magenta,Manufacturer#2,Brand#24,PROMO PLATED STEEL,4,MED BAG,906.00,kages 
7,moccasin green thistle khaki floral,Manufacturer#1,Brand#11,SMALL PLATED COPPER,45,SM BAG,907.00,gular pi
8,misty lace thistle snow royal,Manufacturer#4,Brand#44,PROMO BURNISHED TIN,41,LG DRUM,908.00,beans
9,thistle dim navajo dark gainsboro,Manufacturer#4,Brand#43,SMALL BURNISHED STEEL,12,WRAP CASE,909.00,ole furious
10,linen pink saddle puff powder,Manufacturer#5,Brand#54,LARGE BURNISHED STEEL,44,LG CAN,910.01,into beans about the
11,spring maroon seashell almond orchid,Manufacturer#2,Brand#25,STANDARD BURNISHED NICKEL,43,WRAP BOX,911.01,ole c
12,cornflower wheat orange maroon ghost,Manufacturer#3,Brand#33,MEDIUM ANODIZED STEEL,25,JUMBO CASE,912.01,al reque
13,ghost olive orange rosy thistle,Manufacturer#5,Brand#55,MEDIUM BURNISHED NICKEL,1,JUMBO PACK,913.01,deposi
14,khaki seashell rose cornsilk navajo,Manufacturer#1,Brand#13,SMALL POLISHED STEEL,28,JUMBO BOX,914.01,ngly si
15,blanched honeydew sky turquoise medium,Manufacturer#1,Brand#15,LARGE ANODIZED BRASS,45,LG CASE,915.01,ing to t
16,deep sky turquoise drab peach,Manufacturer#3,Brand#32,PROMO PLATED TIN,2,MED PACK,916.01,ously 
17,indian navy coral pink deep,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,16,LG BOX,917.01, asymptotes integ
18,turquoise indian lemon lavender misty,Manufacturer#1,Brand#11,SMALL BURNISHED STEEL,42,JUMBO PACK,918.01,tructions shall 
19,chocolate navy tan deep brown,Manufacturer#2,Brand#23,SMALL ANODIZED NICKEL,33,WRAP BOX,919.01,pending pack
20,ivory navy honeydew sandy midnight,Manufacturer#1,Brand#12,LARGE POLISHED NICKEL,48,MED BAG,920.02,es. carefully special
21,lemon floral azure frosted lime,Manufacturer#3,Brand#33,SMALL BURNISHED TIN,31,MED BAG,921.02,ckly furious deposi
22,medium forest blue ghost black,Manufacturer#4,Brand#43,PROMO POLISHED BRASS,19,LG DRUM,922.02, furiou
