ps_partkey,ps_suppkey,ps_availqty,ps_supplycost,ps_comment
1,2,3325,771.64,blithely regular theodolites sleep slyly across the sometimes bold dependencies. even accounts among the slyly final sauternes cajole quickly about the doggedly even platelets. carefully final
1,27,8076,993.49,"ts boost carefully ironic, regular accounts. final theodolites cajole slyly. final"
1,52,3956,337.09, fluffily regular multipliers? sheaves integrate slyly ideas. furiously special deposits cajole slyly against the slyly regular pinto beans. blithely pending instructions detect 
1,77,4069,357.84,"press deposits. special courts about the slyly final accounts haggle blithely foxes. carefully unusual sauternes integrate fluffily. pending, pending foxes"
2,3,8895,378.49,sits. furiously regular packages boost blithely? requests affix slyly even packages. slyly express acco
2,28,4969,915.27,deposits doze. slyly express pinto beans haggle blithely against the furiously unusual ideas. furiously regular accounts across the platelets nag carefully acro
2,53,8539,438.37,"s. furiously final dependencies boost slyly slyly regular accounts. final deposits sleep blithely. furiously final deposits mold slyly requests. special, close requests impress carefully unusual"
2,78,3025,306.39,"ecial accounts cajole carefully bold deposits. even, regular foxes above the final d"
3,4,4651,920.92, silent accounts. slyly ironic pinto beans wake above the furiously express dependencies. slyly unusual accounts cajole af
3,29,4093,498.13,"cross the furiously special theodolites. regular, ironic ideas around the furiously express accounts haggle according to the furiously silent pains. carefully bold deposits sleep slyl"
3,54,3917,645.40,regular theodolites boost. special theodolites haggle along the furiously ironic accounts! slyly special packag
3,79,9942,191.92,to beans. foxes use. slyly regular theodolites sleep slyly silent packages. unusual instructions use carefully foxes. carefu
4,5,1339,113.97,"lar theodolites wake furiously. carefully final theodolites are grouches. even, brave requests was furiously above the final, unusual accounts. silent acco"
4,30,6377,591.18,"e closely silent pinto beans. packages integrate alongside of the slyly express ideas. special, final platelets affix carefully silent pinto beans. slyly"
4,55,2694,51.37,"in carefully across the carefully brave theodolites. pending, express platelets haggle furiously among the slyly special foxes. packages"
4,80,2480,444.37,es. furiously brave excuses sleep. carefully regular theodolites along the silent exc
5,6,3735,255.88,"nt, even theodolites. blithely pending deposits alongside of the spec"
5,31,9653,50.52,osits around the pinto beans sleep carefully ironic instruct
5,56,1329,219.83," regular asymptotes. blithely even requests cajole ironic accounts. unusual, final packages cajole carefully regular packag"
5,81,6925,537.98, accounts wake! regular forges haggle carefully. carefully regular accounts affix quickly across the fluffily final patterns. packages cajole furiously final foxes. carefully silent excu
6,7,8851,130.72, theodolites cajole carefully fluffily ironic dependencies. busily ironic dolphins doubt carefully pendin
6,32,1627,424.25,dolites haggle carefully. close dependencies play carefully above the slyly final platelets. thinly ironic asymptotes of the foxes believe slyly ir
6,57,3336,642.13,"cuses. regular requests alongside of the quickly busy platelets cajole fluffily final, ironi"
6,82,6451,175.32,inal ideas. unusual pinto beans cajole fluffily. fluffily even packages nag quickly. quickly final instructions dazzle against the carefully regular deposit
7,8,7454,763.98, wake blithely pending accounts. express pinto beans nag closely. evenly sly platelets along the even depo
7,33,2770,149.66,dinos haggle quickly: fluffily regular instructions wake ironic pac
7,58,3377,68.77,ld accounts use blithely among the ironic pinto beans. slyly bold deposits are slyly blithely even requests. slyly ironic asymptotes across the slyly regu
7,83,9460,299.58,sly across the even dependencies. quickly pending deposits across the theodolites boost around the regular packages? blithely final theodolites 
8,9,6834,249.63,ar theodolites: carefully regular deposits haggle slyly. blithely regular packages are blithely i
8,34,396,957.34,"e regular, even somas. daringly special accounts sleep blithely theodolit"
8,59,9845,220.62,efully special deposits are carefully according to the quickly even 
8,84,8126,916.91,"uickly unusual foxes use carefully-- blithely final packages detect carefully around the carefully express ideas. final, regular e"
9,10,7054,84.20,fily final deposits at the regular packages run never along the quickly speci
9,35,7542,811.84,thely unusual accounts boost quickly slow pains. slyly special packages across the slyly final packages cajole carefully about the regular asymptotes. pending theodolites cajole blithely carefully e
9,60,9583,381.31,onic instructions are. ironic pinto beans across the regular deposits haggle abo
9,85,3063,291.84,"bold pinto beans. slyly regular sauternes detect furiously unusual accounts. slyly ironic instructions along the regular, express ideas haggle slyly across the carefull"
10,11,2952,996.12,"ze at the packages. final, even deposits wake. express requests sle"
10,36,3335,673.27,"unusual, unusual packages integrate unusual, ironic theodolites. express, regular requests grow quickly. slyly express deposits along the quickly regular pinto bea"
10,61,5691,164.00, regular accounts. always unusual requests haggle furiously. blithely unusual packages are slyly along the slyly bold deposits. furiously regular ideas sleep quickly about the quickl
10,86,841,374.02,ly pending dependencies cajole blithely-- packages cajole. regular ideas integrate slyly final reque
11,12,4540,709.87," platelets. furiously even deposits doubt. silent, even requests cajole after the evenly ironic packages. regular deposits cajole about the carefully iro"
11,37,4729,894.90,"e slyly! furiously ironic requests above the express dolphins boost slyly about the special instructions. orbits beside the silent, express accounts print car"
11,62,3708,818.74,eans wake boldly above the unusual tithes. regular packages affix above the slyly special foxes. final dependencies dazzl
